,Word,POS,Spoken,Written
850,depression,n,0,3
851,depth,n,3,3
852,derive,v,0,3
853,describe,v,2,1
854,description,n,2,2
855,desert,n,0,3
856,deserve,v,3,3
857,design,n,2,1
858,design,v,3,1
859,designer,n,0,3
860,desire,n,0,2
861,desk,n,2,2
862,desperate,adj,3,3
863,despite,prep,3,1
864,destroy,v,2,2
865,destruction,n,0,3
866,detail,n,2,1
867,detailed,adj,0,2
868,detect,v,0,3
869,determination,n,0,3
870,determine,v,0,2
871,determined,adj,0,3
872,develop,v,2,1
873,development,n,1,1
874,device,n,3,2
875,devil,n,3,0
876,diagram,n,3,0
877,diamond,n,3,0
878,diary,n,3,0
879,die,v,1,1
880,diet,n,3,2
881,differ,v,0,3
882,difference,n,1,1
883,different,adj,1,1
884,difficult,adj,1,1
885,difficulty,n,2,1
886,dig,v,2,0
887,dimension,n,0,3
888,dinner,n,1,2
889,direct,adj,2,1
890,direct,v,3,2
891,direction,n,1,1
892,directly,adv,2,2
893,director,n,2,1
894,directory,n,3,0
895,dirt,n,3,0
896,dirty,adj,2,3
897,disabled,adj,3,3
898,disagree,v,3,0
899,disappear,v,2,2
900,disappoint,v,0,3
901,disappointed,adj,3,3
902,disaster,n,3,3
903,disc,n,2,3
904,discipline,n,3,3
905,discount,n,3,0
906,discover,v,2,1
907,discovery,n,0,3
908,discuss,v,2,1
909,discussion,n,2,1
910,disease,n,3,1
911,disgusting,adj,2,0
912,dish,n,2,3
913,disk,n,2,3
914,dismiss,v,0,3
915,display,n,3,2
916,display,v,0,2
917,dispute,n,0,2
918,distance,n,2,2
919,distant,adj,0,3
920,distinct,adj,0,3
921,distinction,n,0,3
922,distinguish,v,3,3
923,distribute,v,0,2
924,distribution,n,0,2
925,district,n,3,2
926,disturb,v,0,3
927,divide,v,2,2
928,division,n,3,1
929,divorce,n,3,0
930,do,auxv,1,1
931,do,v,1,1
932,doctor,n,1,1
933,document,n,2,2
934,dog,n,1,1
935,dollar,n,1,2
936,domestic,adj,0,2
937,dominant,adj,0,3
938,dominate,v,0,3
939,door,n,1,1
940,dot,n,2,0
941,double,adj,1,2
942,double,v,3,0
943,doubt,n,1,1
944,doubt,v,2,0
945,down,adv,1,1
946,downstairs,adv,2,0
947,downtown,adv,3,3
948,dozen,number,2,3
949,draft,n,2,3
950,drag,v,3,3
951,drama,n,0,3
952,dramatic,adj,0,3
953,draw,v,1,1
954,draw,n,3,0
955,drawer,n,3,0
956,drawing,n,3,3
957,dream,n,2,2
958,dream,v,3,3
959,dress,n,2,2
960,dress,v,2,2
961,drink,v,1,2
962,drink,n,1,2
963,drive,v,1,1
964,drive,n,2,2
965,driver,n,1,2
966,drop,v,1,2
967,drop,n,2,3
968,drug,n,2,1
969,drunk,adj,3,0
970,dry,adj,2,2
971,dry,v,2,3
972,duck,n,3,0
973,dude,n,3,0
974,due,adj,1,1
975,dull,adj,3,0
976,dumb,adj,3,0
977,dump,v,3,0
978,during,prep,1,1
979,dust,n,3,3
980,duty,n,2,1
981,DVD,n,3,3
982,each,determiner,1,1
983,each other,pron,1,1
984,ear,n,2,2
985,early,adj,1,1
986,early,adv,1,1
987,earn,v,2,2
988,earth,n,2,2
989,ease,v,0,3
990,easily,adv,2,1
991,east,n,1,2
992,eastern,adj,2,2
993,easy,adj,1,1
994,easy,adv,2,0
995,eat,v,1,1
996,economic,adj,2,1
997,economics,n,0,3
998,economy,n,2,1
999,edge,n,2,2
1000,edition,n,0,3
1001,editor,n,0,2
1002,education,n,1,1
1003,educational,adj,3,2
1004,effect,n,1,1
1005,effective,adj,2,1
1006,effectively,adv,3,2
1007,efficiency,n,0,3
1008,efficient,adj,3,3
1009,effort,n,1,1
1010,egg,n,1,2
1011,either,conjunction,1,1
1012,either,determiner,1,1
1013,elderly,adj,3,2
1014,elect,v,3,3
1015,election,n,2,1
1016,electric,adj,2,3
1017,electrical,adj,3,0
1018,electricity,n,2,3
1019,electronic,adj,3,3
1020,element,n,2,1
1021,elevator,n,3,3
1022,else,adv,1,1
1023,elsewhere,adv,3,2
1024,email,n,2,2
1025,email,v,2,2
1026,embarrassed,adj,3,0
1027,emerge,v,0,2
1028,emergency,n,3,3
1029,emotion,n,0,3
1030,emotional,adj,3,3
1031,emphasis,n,3,2
1032,emphasize,v,3,2
1033,empire,n,0,3
1034,employ,v,3,2
1035,employee,n,2,2
1036,employer,n,2,2
1037,employment,n,2,1
1038,empty,adj,2,2
1039,enable,v,3,1
1040,encounter,v,0,3
1041,encourage,v,2,1
1042,encouraging,adj,3,0
1043,end,n,1,1
1044,end,v,1,1
1045,enemy,n,0,2
1046,energy,n,2,1
1047,engage,v,0,3
1048,engine,n,2,2
1049,engineer,n,3,3
1050,engineering,n,3,3
1051,enhance,v,0,3
1052,enjoy,v,1,1
1053,enjoyable,adj,3,0
1054,enormous,adj,2,3
1055,enough,adv,1,1
1056,enough,determiner,1,2
1057,enquiry,n,2,2
1058,ensure,v,2,1
1059,enter,v,2,1
1060,enterprise,n,0,2
1061,entertainment,n,3,3
1062,enthusiasm,n,0,3
1063,enthusiastic,adj,3,0
1064,entire,adj,3,2
1065,entirely,adv,2,2
1066,entitle,v,3,3
1067,entrance,n,3,3
1068,entry,n,3,2
1069,envelope,n,3,0
1070,environment,n,1,1
1071,environmental,adj,2,2
1072,equal,adj,1,2
1073,equal,v,2,0
1074,equally,adv,3,2
1075,equipment,n,2,2
1076,equivalent,adj,0,3
1077,era,n,0,3
1078,error,n,3,2
1079,escape,v,3,2
1080,escape,n,3,0
1081,especially,adv,1,1
1082,essay,n,3,0
1083,essential,adj,3,2
1084,essentially,adv,2,3
1085,establish,v,2,1
1086,establishment,n,0,2
1087,estate,n,2,2
1088,estimate,n,3,2
1089,estimate,v,3,2
1090,ethnic,adj,0,3
1091,even,adv,1,1
1092,evening,n,1,1
1093,event,n,1,1
1094,eventually,adv,1,2
1095,ever,adv,1,1
1096,every,determiner,1,1
1097,everybody,pron,1,3
1098,everyone,pron,1,1
1099,everything,pron,1,1
1100,everywhere,adv,2,3
1101,evidence,n,2,1
1102,evil,adj,3,3
1103,exact,adj,3,0
1104,exactly,adv,1,2
1105,exam,n,1,0
1106,examination,n,0,2
1107,examine,v,3,2
1108,example,n,1,1
1109,excellent,adj,1,2
1110,except,conjunction,2,2
1111,exception,n,3,2
1112,exchange,n,2,1
1113,excitement,n,3,3
1114,exciting,adj,2,3
1115,exclude,v,0,3
1116,excuse,v,1,0
1117,excuse,n,3,0
1118,executive,n,3,2
1119,executive,adj,0,3
1120,exercise,n,2,2
1121,exercise,v,3,2
1122,exhibition,n,0,2
1123,exist,v,2,1
1124,existence,n,3,2
1125,existing,adj,2,2
1126,exit,n,3,0
1127,expand,v,3,3
1128,expansion,n,0,3
1129,expect,v,1,1
1130,expectation,n,3,2
1131,expenditure,n,0,2
1132,expense,n,3,2
1133,expensive,adj,1,2
1134,experience,n,1,1
1135,experience,v,2,2
1136,experienced,adj,3,0
1137,experiment,n,3,2
1138,experimental,adj,0,3
1139,expert,n,3,2
1140,expert,adj,0,3
1141,explain,v,1,1
1142,explanation,n,3,2
1143,explore,v,3,2
1144,explosion,n,0,3
1145,export,n,0,2
1146,expose,v,0,3
1147,express,v,2,1
1148,expression,n,2,2
1149,extend,v,3,2
1150,extension,n,3,3
1151,extensive,adj,0,3
1152,extent,n,2,1
1153,external,adj,0,2
1154,extra,adj,1,2
1155,extraordinary,adj,3,3
1156,extreme,adj,3,3
1157,extremely,adv,2,2
1158,eye,n,1,1
1159,face,n,1,1
1160,face,v,1,1
1161,facility,n,2,1
1162,fact,n,1,1
1163,factor,n,3,1
1164,factory,n,2,2
1165,fail,v,2,1
1166,failure,n,3,2
1167,fair,adj,1,2
1168,fair,adv,2,3
1169,fairly,adv,1,2
1170,faith,n,3,2
1171,fall,v,1,1
1172,fall,n,2,2
1173,false,adj,0,3
1174,familiar,adj,3,2
1175,family,n,1,1
1176,famous,adj,2,2
1177,fan,n,3,2
1178,fancy,v,2,0
1179,fancy,adj,3,0
1180,fantastic,adj,3,0
1181,far,adv,1,1
1182,far,adj,1,1
1183,farm,n,2,2
1184,farmer,n,2,2
1185,fascinating,adj,3,0
1186,fashion,n,3,2
1187,fast,adv,2,3
1188,fast,adj,2,2
1189,fat,adj,2,3
